TeamID,SEASON,TeamName,Conference,Division,LongWinStreak,LongLossStreak,PlayoffRank,DivisionRank,ConferenceGamesBack
1610612747,2021-22,Lakers,West,Pacific,4,8,11,4,31.0
1610612752,2021-22,Knicks,East,Atlantic,4,7,11,5,16.0
1610612758,2021-22,Kings,West,Pacific,3,7,12,5,34.0
1610612764,2021-22,Wizards,East,Southeast,5,6,12,4,18.0
1610612754,2021-22,Pacers,East,Central,3,10,13,4,28.0
1610612757,2021-22,Trail Blazers,West,Northwest,4,11,13,4,37.0
1610612760,2021-22,Thunder,West,Northwest,4,10,14,5,40.0
1610612765,2021-22,Pistons,East,Central,3,14,14,5,30.0
1610612745,2021-22,Rockets,West,Southwest,7,15,15,5,44.0
1610612753,2021-22,Magic,East,Southeast,2,10,15,5,31.0
1610612743,2022-23,Nuggets,West,Northwest,9,4,1,1,0.0
1610612749,2022-23,Bucks,East,Central,16,4,1,1,0.0
1610612763,2022-23,Grizzlies,West,Southwest,11,5,2,1,2.0
1610612738,2022-23,Celtics,East,Atlantic,9,3,2,1,1.0
1610612755,2022-23,76ers,East,Atlantic,8,3,3,2,4.0
1610612758,2022-23,Kings,West,Pacific,7,4,3,1,5.0
1610612739,2022-23,Cavaliers,East,Central,8,5,4,2,7.0
1610612756,2022-23,Suns,West,Pacific,7,6,4,2,8.0
1610612752,2022-23,Knicks,East,Atlantic,9,5,5,3,11.0
1610612746,2022-23,Clippers,West,Pacific,5,6,5,3,9.0
1610612751,2022-23,Nets,East,Atlantic,12,5,6,4,13.0
1610612744,2022-23,Warriors,West,Pacific,5,5,6,4,9.0
1610612747,2022-23,Lakers,West,Pacific,5,5,7,5,10.0
1610612748,2022-23,Heat,East,Southeast,4,4,7,1,14.0
1610612737,2022-23,Hawks,East,Southeast,5,4,8,2,17.0
1610612750,2022-23,Timberwolves,West,Northwest,5,6,8,2,11.0
1610612761,2022-23,Raptors,East,Atlantic,4,6,9,5,17.0
1610612740,2022-23,Pelicans,West,Southwest,7,10,9,2,11.0
1610612741,2022-23,Bulls,East,Central,3,6,10,3,18.0
1610612760,2022-23,Thunder,West,Northwest,4,5,10,3,13.0
1610612754,2022-23,Pacers,East,Central,5,7,11,4,23.0
1610612742,2022-23,Mavericks,West,Southwest,7,4,11,3,15.0
1610612762,2022-23,Jazz,West,Northwest,4,5,12,4,16.0
1610612764,2022-23,Wizards,East,Southeast,6,10,12,3,23.0
1610612753,2022-23,Magic,East,Southeast,6,9,13,4,24.0
1610612757,2022-23,Trail Blazers,West,Northwest,4,6,13,5,20.0
1610612745,2022-23,Rockets,West,Southwest,3,13,14,4,31.0
1610612766,2022-23,Hornets,East,Southeast,5,8,14,5,31.0
1610612759,2022-23,Spurs,West,Southwest,3,16,15,5,31.0
1610612765,2022-23,Pistons,East,Central,2,11,15,5,41.0
1610612738,2023-24,Celtics,East,Atlantic,11,2,1,1,0.0
1610612760,2023-24,Thunder,West,Northwest,6,3,1,1,0.0
1610612743,2023-24,Nuggets,West,Northwest,6,3,2,2,0.0
1610612752,2023-24,Knicks,East,Atlantic,9,4,2,2,14.0
1610612749,2023-24,Bucks,East,Central,7,4,3,1,15.0
1610612750,2023-24,Timberwolves,West,Northwest,7,2,3,3,1.0
1610612739,2023-24,Cavaliers,East,Central,9,3,4,2,16.0
1610612746,2023-24,Clippers,West,Pacific,9,6,4,1,6.0
1610612753,2023-24,Magic,East,Southeast,9,4,5,1,17.0
1610612742,2023-24,Mavericks,West,Southwest,7,3,5,1,7.0
1610612754,2023-24,Pacers,East,Central,6,4,6,3,17.0
1610612756,2023-24,Suns,West,Pacific,7,3,6,2,8.0
1610612755,2023-24,76ers,East,Atlantic,8,4,7,3,17.0
1610612740,2023-24,Pelicans,West,Southwest,4,5,7,2,8.0
1610612747,2023-24,Lakers,West,Pacific,5,4,8,3,10.0
1610612748,2023-24,Heat,East,Southeast,7,7,8,2,18.0
1610612741,2023-24,Bulls,East,Central,4,5,9,4,25.0
1610612758,2023-24,Kings,West,Pacific,6,4,9,4,11.0
1610612744,2023-24,Warriors,West,Pacific,6,6,10,5,11.0
1610612737,2023-24,Hawks,East,Southeast,4,6,10,3,28.0
